Command,Description,Syntax,Parameters,Category,Tags
delete volume,"Deletes the selected volume. Before you begin, you must select a volume for this operation to succeed. Use the select volume command to select a volume and shift the focus to it.",delete volume [noerr],"noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",File Manipulation,Disk/Volume Management
detach vdisk,"Stops the selected virtual hard disk (VHD) from appearing as a local hard disk drive on the host computer. When a VHD is detached, you can copy it to other locations. Before you begin, you must select a VHD for this operation to succeed. Use the select vdisk command to select a VHD and shift the focus to it.",detach vdisk [noerr],"noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
detail,"Displays information about the selected disk, partition, volume, or virtual hard disk (VHD).",detail disk,"detail-diskDetail disk - Displays the properties of the selected disk and the volumes on that disk.
 detail-partitionDetail partition - Displays the properties of the selected partition.
 detail-volumeDetail volume - Displays the disks on which the current volume resides.
 detail-vdiskDetail vdisk - Displays the properties of the selected VHD.",Enumeration,Disk/Volume Management
detail disk,"Displays the properties of the selected disk and the volumes on that disk If you select a virtual hard disk (VHD), this command will show the disk's bus type as Virtual.",detail disk,No description Available,Enumeration,Disk/Volume Management
detail partition,Displays the properties of the selected partition,detail partition,No description Available,Enumeration,Disk/Volume Management
detail vdisk,Displays the properties of the selected virtual hard disk (VHD),detail vdisk,No description Available,Enumeration,Disk/Volume Management
detail volume,"Displays the disks on which the current volume resides The volume details aren't applicable to read-only volumes, such as a DVD-ROM or CD-ROM drive.",detail volume,No description Available,Enumeration,Disk/Volume Management
dfsdiag,Provides diagnostic information for DFS Namespaces.,dfsdiag /testdcs [/domain:<domain name>],"dfsdiag-testdcsdfsdiag testdcs - Checks domain controller configuration.
 dfsdiag-testsitesdfsdiag testsites - Checks site associations.
 dfsdiag-testdfsconfigdfsdiag testdfsconfig - Checks DFS Namespace configuration.
 dfsdiag-testdfsintegritydfsdiag testdfsintegrity - Checks DFS Namespace integrity.
 dfsdiag-testreferraldfsdiag testreferral - Checks referral responses.
 /? - Displays help at the command prompt.",Enumeration,Distributed File System
dfsdiag testdcs,Checks the configuration of domain controllers by performing the following tests on each domain controller in the specified domain:,dfsdiag /testdcs [/domain:<domain_name>],/domain:<domain_name> - Name of the domain to check. This parameter is optional. The default value is the local domain to which the local host is joined.,Enumeration,Distributed File System
dfsdiag testdfsconfig,Checks the configuration of a Distributed File System (DFS) namespace by performing the following actions:,dfsdiag /testdfsconfig /DFSroot:<namespace>,/DFSroot:<namespace> - The namespace (DFS root) to diagnose.,Enumeration,Distributed File System
dfsdiag testdfsintegrity,Checks the integrity of the Distributed File System (DFS) namespace by performing the following tests:,dfsdiag /testdfsintegrity /DFSroot: <DFS root path> [/recurse] [/full],"/DFSroot: <DFS root path> - The DFS namespace to diagnose.
 /recurse - Performs the testing, including any namespace interlinks.
 /full - Verifies the consistency of the share and NTFS ACLs, along with the client side configuration on all folder targets. It also verifies that the online property is set.",Enumeration,Distributed File System
dfsdiag testreferral,Checks Distributed File System (DFS) referrals by performing the following tests:,dfsdiag /testreferral /DFSpath:<DFS path to get referrals> [/full],"/DFSpath:<path to get referrals> - Can be one of the following:Blank: Tests only trusted domains.\\Domain: Tests only domain controller referrals.\\Domain\SYSvol: Tests only SYSvol referrals.\\Domain\NETLOGON: Tests only NETLOGON referrals.\\<domain or server>\<namespace root>: Tests only namespace root referrals.\\<domain or server>\<namespace root>\<DFS folder>: Tests only the DFS folder (link) referrals.
 /full - Applies only to Domain and Root referrals. Verifies the consistency of site association information between the registry and active directory Domain Services (AD DS).",Enumeration,Distributed File System
dfsdiag testsites,Checks the configuration of active directory Domain Services (AD DS) sites by verifying that servers that act as namespace servers or folder (link) targets have the same site associations on all domain controllers.,"dfsdiag /testsites </machine:<server name
 /DFSpath:<namespace root or DFS folder> [/recurse]> [/full]","/machine:<server name> - The name of the server on which to verify the site association.
 /DFSpath:<namespace root or DFS folder> - The namespace root or Distributed File System (DFS) folder (link) with targets for which to verify the site association.
 /recurse - Enumerates and verifies the site associations for all folder targets under the specified namespace root.
 /full - Verifies that AD DS and the registry of the server contain the same site association information.",Enumeration,Distributed File System
dfsrmig,"The migration tool for the DFS Replication service, dfsrmig.exe, is installed with the DFS Replication service. This tool migrates SYSvol replication from File Replication Service (FRS) to Distributed File System (DFS) Replication. It also provides information about the progress of the migration and modifies Active Directory Domain Services (AD DS) objects to support the migration.","dfsrmig [/setglobalstate <state>
 /getglobalstate
 /getmigrationstate
 /createglobalobjects
","/setglobalstate <state> - Sets the domain's global migration state to one that corresponds to the value specified by state. You can only set the global migration state to a stable state. The state values include:0 - Start state1 - Prepared state2 - Redirected state3 - Eliminated state
 /getglobalstate - Retrieves the current global migration state for the domain from the local copy of the AD DS database, when run on the PDC emulator. Use this option to confirm that you set the correct global migration state. Important: You should only run this command on the PDC emulator.
 /getmigrationstate - Retrieves the current local migration state for all domain controllers in the domain and determines whether those local states match the current global migration state. Use this option to determine if all domain controllers have reached the global migration state.
 /createglobalobjects - Creates the global objects and settings in AD DS used by DFS Replication uses. The only situations where you should use this option to manually create objects and settings, are:A new read-only domain controller is promoted during migration. If a new read-only domain controller is promoted in the domain after moving into the Prepared state, but before migration to the Eliminated state, then the objects that correspond to the new domain controller aren't created, causing replication and the migration to fail.Global settings for the DFS Replication service are missing or were deleted. If these settings are missing for a domain controller, migration from the Start state to the Prepared state will stall at the Preparing transition state. Note: Because the global AD DS settings for the DFS Replication service for a read-only domain controller are created on the PDC emulator, these settings need to replicate to the read-only domain controller from the PDC emulator before the DFS Replication service on the read-only domain controller can use these settings. Because of Active Directory replication latencies, this replication can take some time to occur.
 /deleterontfrsmember [<read_only_domain_controller_name>] - Deletes the global AD DS settings for FRS replication that correspond to the specified read-only domain controller, or deletes the global AD DS settings for FRS replication for all read-only domain controllers if no value is specified for <read_only_domain_controller_name>. You shouldn't need to use this option during a normal migration process, because the DFS Replication service automatically deletes these AD DS settings during the migration from the Redirected state to the Eliminated state. Use this option to manually delete the AD DS settings only when the automatic deletion fails on a read-only domain controller and stalls the read-only domain controller for a long ime during the migration from the Redirected state to the Eliminated state.
 /deleterodfsrmember [<read_only_domain_controller_name>] - Deletes the global AD DS settings for DFS Replication that correspond to the specified read-only domain controller, or deletes the global AD DS settings for DFS Replication for all read-only domain controllers if no value is specified for <read_only_domain_controller_name>. Use this option to manually delete the AD DS settings only when the automatic deletion fails on a read-only domain controller and stalls the read-only domain controller for a long time when rolling back the migration from the Prepared state to the start state.
 /? - Displays help at the command prompt.",,
diantz,Package existing files into a cabinet (.cab) file,diantz [/v[n]] [/d var=<value> ...] [/l <dir>] <source> [<destination>],"<source> - File to compress.
 <destination> - File name to give compressed file. If omitted, the last character of the source file name is replaced with an underscore (_) and used as the destination.
 /f <directives_file> - A file with diantz directives (may be repeated).
 /d var=<value> - Defines variable with specified value.
 /l <dir> - Location to place destination (default is current directory).
 /v[<n>] - Set debugging verbosity level (0=none,...,3=full).
 /? - Displays help at the command prompt.",File Manipulation,
dir,"Displays a list of a directory's files and subdirectories. If used without parameters, this command displays the disk's volume label and serial number, followed by a list of directories and files on the disk (including their names and the date and time each was last modified). For files, this command displays the name extension and the size in bytes. This command also displays the total number of files and directories listed, their cumulative size, and the free space (in bytes) remaining on the disk.",dir [<drive>:][<path>][<filename>] [...] [/p] [/q] [/w] [/d] [/a[[:]<attributes>]][/o[[:]<sortorder>]] [/t[[:]<timefield>]] [/s] [/b] [/l] [/n] [/x] [/c] [/4] [/r],"[<drive>:][<path>] - Specifies the drive and directory for which you want to see a listing.
 [<filename>] - Specifies a particular file or group of files for which you want to see a listing.
 /p - Displays one screen of the listing at a time. To see the next screen, press any key.
 /q - Displays file ownership information.
 /w - Displays the listing in wide format, with as many as five file names or directory names on each line.
 /d - Displays the listing in the same format as /w, but the files are sorted by column.
 /a[[:]<attributes>] - Displays only the names of those directories and files with your specified attributes. If you don't use this parameter, the command displays the names of all files except hidden and system files. If you use this parameter without specifying any attributes, the command displays the names of all files, including hidden and system files. The list of possible attributes values are:d - Directoriesh - Hidden filess - System filesl - Reparse pointsr - Read-only filesa - Files ready for archivingi - Not content indexed filesYou can use any combination of these values, but don't separate your values using spaces. Optionally you can use a colon (:) separator, or you can use a hyphen (-) as a prefix to mean, &quot;not&quot;. For example, using the -s attribute won't show the system files.
 /o[[:]<sortorder>] - Sorts the output according to sortorder, which can be any combination of the following values:n - Alphabetically by namee - Alphabetically by extensiong - Group directories firsts - By size, smallest firstd - By date/time, oldest firstUse the - prefix to reverse the sort orderMultiple values are processed in the order in which you list them. Don't separate multiple values with spaces, but you can optionally use a colon (:). If sortorder isn't specified, dir /o lists the directories alphabetically, followed by the files, which are also sorted alphabetically.
 /t[[:]<timefield>] - Specifies which time field to display or to use for sorting. The available timefield values are:c - Creationa - Last accessedw - Last written
 /s - Lists every occurrence of the specified file name within the specified directory and all subdirectories.
 /b - Displays a bare list of directories and files, with no additional information. The /b parameter overrides /w.
 /l - Displays unsorted directory names and file names, using lowercase.
 /n - Displays a long list format with file names on the far right of the screen.
 /x - Displays the short names generated for non-8dot3 file names. The display is the same as the display for /n, but the short name is inserted before the long name.
 /c - Displays the thousand separator in file sizes. This is the default behavior. Use /-c to hide separators.
 /4 - Displays years in four-digit format.
 /r - Display alternate data streams of the file.
 /? - Displays help at the command prompt.",Enumeration,
diskcomp,"Compares the contents of two floppy disks. If used without parameters, diskcomp uses the current drive to compare both disks.",diskcomp [<drive1>: [<drive2>:]],"<drive1> - Specifies the drive containing one of the floppy disks.
 /? - Displays help at the command prompt.
 0 - Disks are the same
 1 - Differences were found
 3 - Hard error occurred
 4 - Initialization error occurred",Executable Utility,"File Analysis, Floppy Disk"
diskcopy,"Copies the contents of the floppy disk in the source drive to a formatted or unformatted floppy disk in the destination drive. If used without parameters, diskcopy uses the current drive for the source disk and the destination disk.",diskcopy [<drive1>: [<drive2>:]] [/v],"<drive1> - Specifies the drive that contains the source disk.
 /v - Verifies that the information is copied correctly. This option slows down the copying process.
 /? - Displays help at the command prompt.
 0 - Copy operation was successful
 1 - Nonfatal Read/Write error occurred
 3 - Fatal hard error occurred
 4 - Initialization error occurred",File Manipulation,Floppy Disk
diskpart,"The diskpart command interpreter helps you manage your computer's drives (disks, partitions, volumes, or virtual hard disks).",No description Available,No description Available,System Administration,Disk/Volume Management
diskperf,The diskperf command remotely enables or disables physical or logical disk performance counters on computers running Windows.,"diskperf [-y[
v]
 -n[
v]] [\\computername]",No description Available,System Administration,"Disk/Volume Management, Performance Management."
diskraid,Diskraid is a command-line tool that enables you to configure and manage redundant array of independent (or inexpensive) disks (RAID) storage subsystems.,No description Available,"plex lun=<n> - Specifies the LUN number to add as a plex to the currently selected LUN. CAUTION: All data on the LUN being added as a plex will be deleted.
 tpgroup tportal=<n> - Specifies the iSCSI target portal number to add to the currently selected iSCSI target portal group.
 noerr - For scripting only. When an error is encountered, Diskraid continues to process commands as if the error did not occur.",System Administration,Disk/Volume Management
diskshadow,"Diskshadow.exe is a tool that exposes the functionality offered by the volume shadow copy Service (VSS). By default, Diskshadow uses an interactive command interpreter similar to that of Diskraid or Diskpart. Diskshadow also includes a scriptable mode.",No description Available,No description Available,Executable Utility,"Disk/Volume Management, VSS, Volume Shadow Service"
dispdiag,Logs display information to a file.,dispdiag [-testacpi] [-d] [-delay <seconds>] [-out <filepath>],"- testacpi - Runs hotkey diagnostics test. Displays the key name, code and scan code for any key pressed during the test.
 -d - Generates a dump file with test results.
 -delay <seconds> - Delays the collection of data by specified time in seconds.
 -out <filepath> - Specifies path and filename to save collected data. This must be the last parameter.
 -? - Displays available command parameters and provides help for using them.",Enumeration,
dnscmd,"A command-line interface for managing DNS servers. This utility is useful in scripting batch files to help automate routine DNS management tasks, or to perform simple unattended setup and configuration of new DNS servers on your network.",dnscmd <servername> <command> [<command parameters>],<servername> - The IP address or host name of a remote or local DNS server.,"Networking, Enumeration",DNS
doskey,"Calls Doskey.exe, which recalls previously entered command-line commands, edits command lines, and creates macros.","doskey [/reinstall] [/listsize=<size>] [/macros:[all
 <exename>] [/history] [/insert
 /overstrike] [/exename=<exename>] [/macrofile=<filename>] [<macroname>=[<text>]]","/reinstall - Installs a new copy of Doskey.exe and clears the command history buffer.
 /listsize=<size> - Specifies the maximum number of commands in the history buffer.
 /macros - Displays a list of all doskey macros. You can use the redirection symbol (>) with /macros to redirect the list to a file. You can abbreviate /macros to /m.
 /macros:all - Displays doskey macros for all executables.
 /macros:<exename> - Displays doskey macros for the executable specified by exename.
 /history - Displays all commands that are stored in memory. You can use the redirection symbol (>) with /history to redirect the list to a file. You can abbreviate /history as /h.
 /insert - Specifies that new text you type is inserted in old text.
 /overstrike - Specifies that new text overwrites old text.
 /exename=<exename> - Specifies the program (that is, executable) in which the doskey macro runs.
 /macrofile=<filename> - Specifies a file that contains the macros that you want to install.
 <macroname>=[<text>] - Creates a macro that carries out the commands specified by Text. MacroName specifies the name you want to assign to the macro. Text specifies the commands you want to record. If Text is left blank, MacroName is cleared of any assigned commands.
 /? - Displays help at the command prompt.
 UP ARROW - Recalls the command that you used before the one that is displayed.
 DOWN ARROW - Recalls the command that you used after the one that is displayed.
 PAGE UP - Recalls the first command that you used in the current session.
 PAGE DOWN - Recalls the most recent command that you used in the current session.
 LEFT ARROW - Moves the insertion point back one character.
 RIGHT ARROW - Moves the insertion point forward one character.
 CTRL+LEFT ARROW - Moves the insertion point back one word.
 CTRL+RIGHT ARROW - Moves the insertion point forward one word.
 HOME - Moves the insertion point to the beginning of the line.
 END - Moves the insertion point to the end of the line.
 ESC - Clears the command from the display.
 F1 - Copies one character from a column in the template to the same column in the Command Prompt window. (The template is a memory buffer that holds the last command you typed.)
 F2 - Searches forward in the template for the next key that you type after you press F2. Doskey.exe inserts the text from the template—up to, but not including, the character you specify.
 F3 - Copies the remainder of the template to the command line. Doskey.exe begins copying characters from the position in the template that corresponds to the position indicated by the insertion point on the command line.
 F4 - Deletes all characters from the current insertion point position up to, but not including, the next occurrence of the character that you type after you press F4.
 F5 - Copies the template into the current command line.
 F6 - Places an end-of-file character (CTRL+Z) at the current insertion point position.
 F7 - Displays (in a dialog box) all commands for this program that are stored in memory. Use the UP ARROW key and the DOWN ARROW key to select the command you want, and press ENTER to run the command. You can also note the sequential number in front of the command and use this number in conjunction with the F9 key.
 ALT+F7 - Deletes all commands stored in memory for the current history buffer.
 F8 - Displays all commands in the history buffer that start with the characters in the current command.
 F9 - Prompts you for a history buffer command number, and then displays the command associated with the number that you specify. Press ENTER to run the command. To display all the numbers and their associated commands, press F7.
 ALT+F10 - Deletes all macro definitions.
 $G or $g - Redirects output. Use either of these special characters to send output to a device or a file instead of to the screen. This character is equivalent to the redirection symbol for output (>).
 $G$G or $g$g - Appends output to the end of a file. Use either of these double characters to append output to an existing file instead of replacing the data in the file. These double characters are equivalent to the append redirection symbol for output (>>).
 $L or $l - Redirects input. Use either of these special characters to read input from a device or a file instead of from the keyboard. This character is equivalent to the redirection symbol for input (<).
 $B or $b - Sends macro output to a command. These special characters are equivalent to using the pipe ( and *.
 $T or $t - Separates commands. Use either of these special characters to separate commands when you create macros or type commands on the doskey command line. These special characters are equivalent to using the ampersand (&amp;) on a command line.
 $$ - Specifies the dollar-sign character ($).
 $1 through $9 - Represent any command-line information you want to specify when you run the macro. The special characters $1 through $9 are batch parameters that enable you to use different data on the command line each time you run the macro. The $1 character in a doskey command is similar to the %1 character in a batch program.
 $* - Represents all the command-line information that you want to specify when you type the macro name. The special character $* is a replaceable parameter that is similar to the batch parameters $1 through $9, with one important difference: everything you type on the command line after the macro name is substituted for the $* in the macro.",,
driverquery,"Enables an administrator to display a list of installed device drivers and their properties. If used without parameters, driverquery runs on the local computer.","driverquery [/s <system> [/u [<domain>\]<username> [/p <password>]]] [/fo {table
 list
 csv}] [/nh] [/v
 /si]","/s <system> - Specifies the name or IP address of a remote computer. Do not use backslashes. The default is the local computer.
 /u [<domain>]<username> - Runs the command with the credentials of the user account as specified by user or domain\user. By default, /s uses the credentials of the user who is currently logged on to the computer that is issuing the command. /u can't be used unless /s is specified.
 /p <password> - Specifies the password of the user account that is specified in the /u parameter. /p cannot be used unless /u is specified.
 /fo table - Formats the output as a table. This is the default.
 /fo list - Formats the output as a list.
 /fo csv - Formats the output with comma-separated values.
 /nh - Omits the header row from the displayed driver information. Not valid if the /fo parameter is set to list.
 /v - Displays verbose output. /v is not valid for signed drivers.
 /si - Provides information about signed drivers.
 /? - Displays help at the command prompt.",,
echo,"Displays messages or turns on or off the command echoing feature. If used without parameters, echo displays the current echo setting.",echo [<message>],"[on
 off] - Turns on or off the command echoing feature. Command echoing is on by default.
 <message> - Specifies the text to display on the screen.
 /? - Displays help at the command prompt.",,
edit,"Starts the MS-DOS Editor, which creates and changes ASCII text files.",edit [/b] [/h] [/r] [/s] [/<nnn>] [[<drive>:][<path>]<filename> [<filename2> [...]],"[<drive>:][<path>]<filename> [<filename2> [...]] - Specifies the location and name of one or more ASCII text files. If the file doens't exist, MS-DOS Editor creates it. If the file exists, MS-DOS Editor opens it and displays its contents on the screen. The filename option can contain wildcard characters (* and ?). Separate multiple file names with spaces.
 /b - Forces monochrome mode, so that MS-DOS Editor displays in black and white.
 /h - Displays the maximum number of lines possible for the current monitor.
 /r - Loads file(s) in read-only mode.
 /s - Forces the use of short filenames.
 <nnn> - Loads binary file(s), wrapping lines to nnn characters wide.
 /? - Displays help at the command prompt.",File Manipulation,
endlocal,"Ends localization of environment changes in a batch file, and restores environment variables to their values before the corresponding setlocal command was run.",endlocal,/? - Displays help at the command prompt.,System Administration,Batch File
end restore,Ends a restore session and issues a PostRestore event to involved writers.,end restore,No description Available,System Administration,Backup/Restore
erase,"Deletes one or more files. If you use erase to delete a file from your disk, you can't retrieve it.",erase [/p] [/f] [/s] [/q] [/a[:]<attributes>] <names>,"<names> - Specifies a list of one or more files or directories. Wildcards may be used to delete multiple files. If a directory is specified, all files within the directory will be deleted.
 /p - Prompts for confirmation before deleting the specified file.
 /f - Forces deletion of read-only files.
 /s - Deletes specified files from the current directory and all subdirectories. Displays the names of the files as they are being deleted.
 /q - Specifies quiet mode. You are not prompted for delete confirmation.
 /a[:]<attributes> - Deletes files based on the following file attributes:r Read-only filesh Hidden filesi Not content indexed filess System filesa Files ready for archivingl Reparse points- Used as a prefix meaning 'not'
 /? - Displays help at the command prompt.",File Manipulation,
eventcreate,Enables an administrator to create a custom event in a specified event log.,"eventcreate [/s <computer> [/u <domain\user> [/p <password>]] {[/l {APPLICATIO
SYSTEM}
[/so <srcname>]} /t {ERRO
WARNIN
INFORMATIO
SUCCESSAUDI
FAILUREAUDIT} /id <eventID> /d <description>","/s <computer> - Specifies the name or IP address of a remote computer (do not use backslashes). The default is the local computer.
 /u <domain\user> - Runs the command with the account permissions of the user specified by <user> or <domain\user>. The default is the permissions of the current logged on user on the computer issuing the command.
 /p <password> - Specifies the password of the user account that is specified in the /u parameter.
 /l {APPLICATION
 SYSTEM} - Specifies the name of the event log where the event will be created. The valid log names are APPLICATION or SYSTEM.
 /so <srcname> - Specifies the source to use for the event. A valid source can be any string and should represent the application or component that is generating the event.
 /t {ERROR
 WARNING
 INFORMATION
 SUCCESSAUDIT
 FAILUREAUDIT} - Specifies the type of event to create. The valid types are ERROR, WARNING, INFORMATION, SUCCESSAUDIT, and FAILUREAUDIT.
 /id <eventID> - Specifies the event ID for the event. A valid ID is any number from 1 to 1000.
 /d <description> - Specifies the description to use for the newly created event.
 /? - Displays help at the command prompt.",Privileged Command,Windows Event Log
eventquery,The eventquery command has been deprecated and isn't guaranteed to be supported in future releases of Windows.,No description Available,No description Available,N/A,
eventtriggers,The eventtriggers command has been deprecated and isn't guaranteed to be supported in future releases of Windows.,No description Available,No description Available,N/A,
evntcmd,"Configures the translation of events to traps, trap destinations, or both based on information in a configuration file.",evntcmd [/s <computername>] [/v <verbositylevel>] [/n] <filename>,"/s <computername> - Specifies, by name, the computer on which you want to configure the translation of events to traps, trap destinations, or both. If you do not specify a computer, the configuration occurs on the local computer.
 /v <verbositylevel> - Specifies which types of status messages appear as traps and trap destinations are configured. This parameter must be an integer between 0 and 10. If you specify 10, all types of messages appear, including tracing messages and warnings about whether trap configuration was successful. If you specify 0, no messages appear.
 /n - Specifies that the SNMP service should not be restarted if this computer receives trap configuration changes.
 <filename> - Specifies, by name, the configuration file that contains information about the translation of events to traps and trap destinations you want to configure.
 /? - Displays help at the command prompt.",Logging,Windows Event Log
exec,"Runs a script file on the local computer. This command also duplicates or restores data as part of a backup or restore sequence. If the script fails, an error is returned and DiskShadow quits.",exec <scriptfile.cmd>,<scriptfile.cmd> - Specifies the script file to run.,File Execution,Script
exit,Exits the command interpreter or the current batch script.,exit [/b] [<exitcode>],"/b - Exits the current batch script instead of exiting Cmd.exe. If executed from outside a batch script, exits Cmd.exe.
 <exitcode> - Specifies a numeric number. If /b is specified, the ERRORLEVEL environment variable is set to that number. If you are quitting the command interpreter, the process exit code is set to that number.
 /? - Displays help at the command prompt.",System Administration,Script
expand,Expands one or more compressed files. You can also use this command to retrieve compressed files from distribution disks.,expand [-r] <source> <destination>,"-r - Renames expanded files.
 source - Specifies the files to expand. Source can consist of a drive letter and colon, a directory name, a file name, or a combination of these. You can use wildcards (* or ?).
 destination - Specifies where files are to be expanded. If source consists of multiple files and you don't specify -r, the destination must be a directory that already exists. Destination can consist of a drive letter and colon, a directory name, a file name, or a combination of these. Destination file 
 path specification.
 -i - Renames expanded files but ignores the directory structure.
 -d - Displays a list of files in the source location. Doesn't expand or extract the files.
 -f:<files> - Specifies the files in a cabinet (.cab) file that you want to expand. You can use wildcards (* or ?).
 /? - Displays help at the command prompt.",File Manipulation,
expand vdisk,Expands a virtual hard disk (VHD) to a specified size.,expand vdisk maximum=<n>,maximum=<n> - Specifies the new size for the VHD in megabytes (MB).,File Manipulation,Disk/Volume Management
expose,"Exposes a persistent shadow copy as a drive letter, share, or mount point.","expose <shadowID> {<drive:>
 <share>
 <mountpoint>}","shadowID - Specifies the shadow ID of the shadow copy you want to expose. You can also use an existing alias or an environment variable in place of shadowID. Use add without parameters to see existing aliases.
 <drive:> - Exposes the specified shadow copy as a drive letter (for example, p:).
 <share> - Exposes the specified shadow copy at a share (for example, \\machinename).
 <mountpoint> - Exposes the specified shadow copy to a mount point (for example, C:\shadowcopy).",System Administration,"Disk/Volume Management, Shadow"
extend,Extends the volume or partition with focus and its file system into free (unallocated) space on a disk.,extend [size=<n>] [disk=<n>] [noerr],"size=<n> - Specifies the amount of space in megabytes (MB) to add to the current volume or partition. If no size is given, all of the contiguous free space that is available on the disk is used.
 disk=<n> - Specifies the disk on which the volume or partition is extended. If no disk is specified, the volume or partition is extended on the current disk.
 filesystem - Extends the file system of the volume with focus. For use only on disks where the file system was not extended with the volume.
 noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
extract,Extracts files from a cabinet or source.,No description Available,"cabinet - Use if you want to extract two or more files.
 filename - Name of the file to extract from the cabinet. Wild cards and multiple filenames (separated by blanks) may be used.
 source - Compressed file (a cabinet with only one file).
 newname - New filename to give the extracted file. If not supplied, the original name is used.
 /a - Process ALL cabinets. Follows cabinet chain starting in first cabinet mentioned.
 /c - Copy source file to destination (to copy from DMF disks).
 /d - Display cabinet directory (use with filename to avoid extract).
 /e - Extract (use instead of . to extract all files).
 /l dir - Location to place extracted files (default is current directory).
 /y - Don't prompt before overwriting an existing file.",File Manipulation,
fc,Compares two files or sets of files and displays the differences between them.,fc /a [/c] [/l] [/lb<n>] [/n] [/off[line]] [/t] [/u] [/w] [/<nnnn>] [<drive1>:][<path1>]<filename1> [<drive2>:][<path2>]<filename2>,"/a - Abbreviates the output of an ASCII comparison. Instead of displaying all of the lines that are different, fc displays only the first and last line for each set of differences.
 /b - Compares the two files in binary mode, byte by byte, and does not attempt to resynchronize the files after finding a mismatch. This is the default mode for comparing files that have the following file extensions: .exe, .com, .sys, .obj, .lib, or .bin.
 /c - Ignores the letter case.
 /l - Compares the files in ASCII mode, line-by-line, and attempts to resynchronize the files after finding a mismatch. This is the default mode for comparing files, except files with the following file extensions: .exe, .com, .sys, .obj, .lib, or .bin.
 /lb<n> - Sets the number of lines for the internal line buffer to N. The default length of the line buffer is 100 lines. If the files that you are comparing have more than 100 consecutive differing lines, fc cancels the comparison.
 /n - Displays the line numbers during an ASCII comparison.
 /off[line] - Doesn't skip files that have the offline attribute set.
 /t - Prevents fc from converting tabs to spaces. The default behavior is to treat tabs as spaces, with stops at each eighth character position.
 /u - Compares files as Unicode text files.
 /w - Compresses white space (that is, tabs and spaces) during the comparison. If a line contains many consecutive spaces or tabs, /w treats these characters as a single space. When used with /w, fc ignores white space at the beginning and end of a line.
 /<nnnn> - Specifies the number of consecutive lines that must match following a mismatch, before fc considers the files to be resynchronized. If the number of matching lines in the files is less than nnnn, fc displays the matching lines as differences. The default value is 2.
 [<drive1>:][<path1>]<filename1> - Specifies the location and name of the first file or set of files to compare. filename1 is required.
 [<drive2>:][<path2>]<filename2> - Specifies the location and name of the second file or set of files to compare. filename2 is required.
 /? - Displays help at the command prompt.",Executable Utility,File Analysis
filesystems,Displays information about the current file system of the volume with focus and lists the file systems that are supported for formatting the volume.,filesystems,No description Available,Enumeration,Disk/Volume Management
find,"Searches for a string of text in a file or files, and displays lines of text that contain the specified string.",find [/v] [/c] [/n] [/i] [/off[line]] <&quot;string&quot;> [[<drive>:][<path>]<filename>[...]],"/v - Displays all lines that don't contain the specified <string>.
 /c - Counts the lines that contain the specified <string> and displays the total.
 /n - Precedes each line with the file's line number.
 /i - Specifies that the search is not case-sensitive.
 [/off[line]] - Doesn't skip files that have the offline attribute set.
 <&quot;string&quot;> - Required. Specifies the group of characters (enclosed in quotation marks) that you want to search for.
 [<drive>:][<path>]<filename> - Specifies the location and name of the file in which to search for the specified string.
 /? - Displays help at the command prompt.",Enumeration,Search
