"Command","Description","Syntax","Parameters","Links","Category","Tags"
"Continue","Skip just this iteration of a loop.","Not Available","Not Available","https://ss64.com/ps/continue.html","System Utility","Command Execution, Scripting"
"Enable-ComputerRestore","Enable System Restore on a drive."," Enable-ComputerRestore [-Drive] <i>string</i>[]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -drive <i>string</i>
 The file system drive, one or more drive letters, each followed by :\ and
 enclosed in quotation marks, such as &quot;C:\&quot; or &quot;D:\&quot;
 -confirm
 Prompt for confirmation before executing the command.
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
","https://ss64.com/ps/enable-computerrestore.html","System Administration",
"Disable-ComputerRestore","Disable System Restore on a drive."," Disable-ComputerRestore [-Drive] <i>string</i>[]
 [-Confirm] [-WhatIf] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -drive <i>string</i>
 The file system drive, one or more drive letters, each followed by :\ and
 enclosed in quotation marks, such as &quot;C:\&quot; or &quot;D:\&quot;
 -confirm
 Prompt for confirmation before executing the command.
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
","https://ss64.com/ps/disable-computerrestore.html","System Administration",
"Get-ComputerRestorePoint","Get the restore points on the local computer."," Get-ComputerRestorePoint [[-RestorePoint] <i>Int32</i>[]] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Get-ComputerRestorePoint -LastStatus [<i><a href=""common.html"">CommonParameters</a></i>]
"," -LastStatus
 Get the status of the most recent system restore operation.
 -RestorePoint <i>int</i>
 Get the restore points with the specified sequence numbers.
 Enter the sequence numbers of one or more restore points.
 By default, Get-ComputerRestorePoint gets all restore points on the local computer.
","https://ss64.com/ps/get-computerrestorepoint.html","System Administration, Enumeration",
"Test-Connection","Ping one or more computers."," Test-Connection [-ComputerName] <i>string</i>[] [[-Source] <i>string</i>[]]
 [-AsJob] [-Authentication <i>AuthenticationLevel</i>]
 [-BufferSize <i>int</i>] [-Count <i>int</i>] [-Credential <i>PSCredential</i>] [-Delay <i>int</i>]
 [-Impersonation <i>ImpersonationLevel</i>] [-Quiet]
 [-ThrottleLimit <i>int</i>] [-TimeToLive <i>int</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Authentication <i>AuthenticationLevel</i>
 The authentication level that is used for the WMI connection.
 Valid values:
 Unchanged The authentication level is the same as the previous command.
 Default Windows Authentication.
 None No COM authentication.
 Connect Connect-level COM authentication.
 Call Call-level COM authentication.
 Packet Packet-level COM authentication.
 PacketIntegrity Packet Integrity-level COM authentication.
 PacketPrivacy Packet Privacy-level COM authentication.
 -BufferSize <i>int</i>
 The size, in bytes, of the buffer sent with this command.
 The default value is 32.
 -ComputerName <i>string</i>[]
 The computers to ping.
 Type the computer names or type IP addresses in IPv4 or IPv6 format.
 Wildcard characters are not permitted. This parameter is required.
 This parameter does not rely on PowerShell remoting.
 -Count <i>int</i>
 The number of echo requests to send.
 The default value is 4.
 -Credential <i>PSCredential</i>
 A user account that has permission to perform this action.
 Type a user name, such as &quot;User64&quot; or &quot;Domain64\User64&quot;, or enter
 a PSCredential object, such as one from Get-Credential.
 -Delay <i>int</i>
 The interval between pings, in seconds.
 -Impersonation <i>ImpersonationLevel</i>
 The impersonation level to use when calling WMI.
 Valid values:
 Default Default impersonation.
 Anonymous Hides the identity of the caller.
 Identify Allows objects to query the credentials of the caller.
 <u>Impersonate</u> Allows objects to use the credentials of the caller.
 -Quiet
 Suppress all errors and return $True if any pings succeeded
 and $False if all failed.
 -Source <i>string</i>[]
 The names of the computers where the ping originates.
 Enter a comma-separated list of computer names.
 The default is the local computer.
 -ThrottleLimit <i>int
","https://ss64.com/ps/test-connection.html","System Administration, Networking",
"ConvertFrom-CSV","Convert object properties (in CSV format) into CSV objects."," ConvertFrom-CSV [[-Delimiter] <i>char</i>]
 [-InputObject] <i>PSObject</i>[] [-Header <i>string</i>[]] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 ConvertFrom-CSV -UseCulture
 [-InputObject] <i>PSObject</i>[] [-Header <i>string</i>[]] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/convertfrom-csv.html","File Manipulation",
"ConvertTo-CSV","Convert .NET Framework objects into CSV variable-length strings."," ConvertTo-CSV [[-Delimiter] <i>char</i>]
 [-InputObject] <i>psobject</i> [-IncludeTypeInformation] [-NoTypeInformation]
 [-QuoteFields <i>String</i>[]] [-UseQuotes <i>QuoteKind</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 ConvertTo-CSV [-UseCulture]
 [-InputObject] <i>psobject</i> [-IncludeTypeInformation] [-NoTypeInformation]
 [-QuoteFields <i>String</i>[]] [-UseQuotes <i>QuoteKind</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/convertto-csv.html","File Manipulation",
"ConvertFrom-Json","Convert a JSON-formatted string to a custom object."," ConvertFrom-Json [-InputObject] <i>String</i> [<i><a href=""common.html"">CommonParameters</a></i>]
"," -InputObject <i>String</i>
 The JSON strings to convert to JSON objects. Enter a variable that contains the string, or type a 
 command or expression that gets the string. You can also pipe a string to ConvertFrom-Json .
 
 The -InputObject parameter is required, but its value can be an empty string.
 When the input object is an empty string, ConvertFrom-Json does not generate any output.
 The -InputObject value cannot be $Null.
 <p>Standard '{ &quot;key&quot;:&quot;value1&quot;, &quot;Key&quot;:&quot;value2&quot; }' | ConvertFrom-Json -AsHashtable</p>
","https://ss64.com/ps/convertfrom-json.html","File Manipulation",
"ConvertTo-Json","Convert an object to a JSON-formatted string."," ConvertTo-Json [-InputObject] <i>Object</i>
 [-Compress] [-Depth <i>Int32</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -InputObject <i>Object</i>
 The objects to convert to JSON format. Enter a variable that contains the objects, or type a command 
 or expression that gets the objects. You can also pipe an object to ConvertTo-Json.
 The InputObject parameter is required, but its value can be null ($Null) or an empty string.
 When the input object is $Null, ConvertTo-Json does not generate any output.
 When the input object is an empty string, ConvertTo-Json returns an empty string.
 -Compress
 Omit white space and indented formatting in the output string.
 
 -Depth <i>Int32</i>
 How many levels of contained objects are included in the JSON representation.
 The default value is 2.
","https://ss64.com/ps/convertto-json.html","File Manipulation",
"ConvertTo-Html","Convert the input into an HTML table."," ConvertTo-Html [[-head] <i>string</i>[] ] [[-title] <i>string</i>] [[-body] <i>string</i>[] ]
 [-CssUri <i>Uri</i>] [[-property] <i>Object</i>[] ]
 [-As {<u>TABLE</u> | LIST}] [-inputObject <i>psobject</i>]
 [-PreContent <i>string</i>[]] [-PostContent <i>string</i>[]] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 ConvertTo-Html [-Fragment] [[-property] <i>Object</i>[] ]
 [-As {<u>TABLE</u> | LIST}] [-inputObject <i>psobject</i>]
 [-PreContent <i>string</i>[]] [-PostContent <i>string</i>[]] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -As <i>string</i> Format the object as a table or a list. Valid values are TABLE or LIST.
 -CssUri <i>Uri</i> The Uniform Resource Identifier (pipe them to ConvertTo-Html.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 -property <i>Object</i>
 Properties of the input object to appear in the HTML table.
 
 -PreContent <i>string</i>[] Text to add before the opening &lt;TABLE&gt; tag.
 -PostContent <i>string</i>[] Text to add after the closing &lt;/TABLE&gt; tag. 
","https://ss64.com/ps/convertto-html.html","File Manipulation",
"ConvertTo-Xml","Convert the input into XML."," ConvertTo-XML [-InputObject] <i>psobject</i>
 [-As {String | <u>Stream</u> | Document} ]
 [-Depth <i>int</i>] [-NoTypeInformation] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -As <i>string</i> Format as: a String (returns a single string),a Stream (returns an array 
 of strings) or a Document (returns an XmlDocument)
 -CssUri <i>Uri</i> The Uniform Resource Identifier (CommonParameters:
 -Verbose, -Debug, -ErrorAction, -ErrorVariable, -WarningAction, -WarningVariable,
 -OutBuffer -OutVariable.
","https://ss64.com/ps/convertto-xml.html","File Manipulation",
"ConvertFrom-String","Extract and parse structured properties from a string.","Not Available","Not Available","Not Available","File Manipulation",
"cfs","Extract and parse structured properties from a string.","Not Available","Not Available","Not Available","File Manipulation",
"ConvertFrom-StringData","Convert a string containing key and value pairs into a hash table.","Not Available","Not Available","Not Available","File Manipulation",
"ConvertFrom-SecureString","Convert a secure string into an encrypted standard string."," ConvertFrom-SecureString [-secureString] <i>SecureString</i> 
 [[<b>-secureKey</b>] <i>SecureString</i>]
 [<i><a href=""common.html"">CommonParameters</a></i>]
 
 ConvertFrom-SecureString [-secureString] <i>SecureString</i> 
 [<b>-key</b> <i>Byte</i>[]]
 [<i><a href=""common.html"">CommonParameters</a></i>]
"," [<i>CommonParameters</i>]
 key
 -secureKey SecureString
 The encryption key as a secure string,
 this is converted to a byte array before being used as the key.
 -key <i>Byte</i>
 The encryption key as a byte array.
","https://ss64.com/ps/convertfrom-securestring.html","File Manipulation","Encryption."
"ConvertTo-SecureString","Convert an encrypted standard string into a secure string."," ConvertTo-SecureString [-String] <i>String</i> 
 [[<b>-secureKey</b>] <i>SecureString</i>]
 [<i><a href=""common.html"">CommonParameters</a></i>]
 
 ConvertTo-SecureString [-String] <i>String</i> 
 [<b>-key</b> <i>Byte</i>[]]
 [<i><a href=""common.html"">CommonParameters</a></i>]
 ConvertTo-SecureString [-String] <i>String</i> 
 [[<b>-asPlainText</b>] [-force]]
 [<i><a href=""common.html"">CommonParameters</a></i>]
"," [<i>CommonParameters</i>]
 key
 -secureKey <i>SecureString</i>
 The encryption key as a secure string,
 this is converted to a byte array before being used as the key.
 Valid key lengths are 16, 24, and 32 bytes
 
 -key <i>Byte</i>
 The encryption key as a byte array.
 Valid key lengths are 16, 24, and 32 bytes
 -asPlainText 
 A plain text string to convert to a secure string.
 The text is not encrypted so the input is not protected/confidential
 To use this option, you must also specify -Force
 
 -force 
 Set this to confirm that you understand the security risks of using PlainText
","https://ss64.com/ps/convertto-securestring.html","File Manipulation","Encryption."
"Copy-Item","Copy an item from a namespace location."," Copy-item [[-path] | [-literalPath] ] <i>string</i>[]
 [[-destination] <i>string</i>[]] [-container] [-recurse] [-force]
 [-incude <i>string</i>[] ] [-exclude <i>string</i>[] ]
 [-filter <i>string</i>] [-passThru] [-credential <i>PSCredential</i>]
 [-whatIf] [-confirm] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/copy-item.html","File Manipulation",
"copy","Copy an item from a namespace location."," Copy-item [[-path] | [-literalPath] ] <i>string</i>[]
 [[-destination] <i>string</i>[]] [-container] [-recurse] [-force]
 [-incude <i>string</i>[] ] [-exclude <i>string</i>[] ]
 [-filter <i>string</i>] [-passThru] [-credential <i>PSCredential</i>]
 [-whatIf] [-confirm] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/copy-item.html","File Manipulation",
"cp","Copy an item from a namespace location."," Copy-item [[-path] | [-literalPath] ] <i>string</i>[]
 [[-destination] <i>string</i>[]] [-container] [-recurse] [-force]
 [-incude <i>string</i>[] ] [-exclude <i>string</i>[] ]
 [-filter <i>string</i>] [-passThru] [-credential <i>PSCredential</i>]
 [-whatIf] [-confirm] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/copy-item.html","File Manipulation",
"ci","Copy an item from a namespace location."," Copy-item [[-path] | [-literalPath] ] <i>string</i>[]
 [[-destination] <i>string</i>[]] [-container] [-recurse] [-force]
 [-incude <i>string</i>[] ] [-exclude <i>string</i>[] ]
 [-filter <i>string</i>] [-passThru] [-credential <i>PSCredential</i>]
 [-whatIf] [-confirm] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/copy-item.html","File Manipulation",
"Export-Counter","Export Performance Counter data to log files."," Export-Counter [-Path] <i>string</i> -InputObject <i>PerformanceCounterSampleSet</i>[]
 [-Circular] [-FileFormat <i>string</i>] [-Force] [-MaxSize <i>int</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Circular
 Indicates that output file should be a circular log with first in, first
 out (FIFO) format. When you include this parameter, the -MaxSize parameter is required.
 -FileFormat
 The output format of the output log file.
 Valid values are CSV, TSV, and BLG. The default value is BLG.
 -Force
 Overwrite and replace an existing file if one exists in the location specified by -Path.
 -InputObject <i>PerformanceCounterSampleSet</i>[]
 The counter data to export.
 Enter a variable that contains the data or a command that gets the data, 
 such as a Get-Counter or Import-Counter command.
 -MaxSize <i>int</i>
 The maximum size of the output file. 
 If the Circular parameter is specified, then when the log file reaches the
 specified maximum size, the oldest entries are deleted as newer ones are added.
 If the Circular parameter is not specified, then when the log file 
 reaches the specified maximum size, no new data is added and the cmdlet
 generates a non-terminating error.
 -Path <i>string</i>
 The path and file name of the output file.
 Enter a relative or absolute path on the local computer, or a UNC path to a remote computer,
 such as \\Computer\Share\file.blg. This parameter is required. 
 Note: The file format is determined by the value of -FileFormat, not by the file name extension.
","https://ss64.com/ps/export-counter.html","System Administration",
"Get-Counter","Get performance counter data."," Get-Counter [-Counter] <i>string</i>[] [-ComputerName <i>string</i>[]] [-Continuous]
 [-MaxSamples <i>Int64</i>] [-SampleInterval <i>int</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Get-Counter -ListSet <i>string</i>[] [-ComputerName <i>string</i>[]] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -ComputerName <i>string</i>[]
 Get data from the specified computer(s).
 Type the NetBIOS name, an Internet Protocol (IP) address, or fully qualified domain names.
 The default value is the local computer.
 Note: Get-Counter does not rely on PowerShell remoting.
 -Continuous
 Get samples continuously until you press CTRL+C.
 By default, Get-Counter gets only one counter sample.
 Use -SampleInterval to set the interval for continuous sampling.
 -Counter <i>string</i>[]
 Get data from the specified performance counters.
 Enter one or more counter paths. Wildcards are permitted only in the Instance value.
 You can also pipe counter path strings to Get-Counter. 
 Each counter path has the following format:
 &quot;[\\&lt;ComputerName&gt;]\&lt;CounterSet&gt;(&lt;Instance&gt;)\&lt;CounterName&gt;&quot; 
 For example: 
 &quot;\\Server01\Processor(2)\% User Time&quot;. 
 The <i>ComputerName</i> element is optional. If you omit it, Get-Counter uses the value of -ComputerName.
 Note: To get correctly formatted counter paths, use -ListSet to get a performance counter set.
 The Paths and PathsWithInstances properties of each performance counter set contain
 the individual counter paths formatted as a string. You can save the counter path strings
 in a variable or pipe the string directly to another Get-Counter command. See the examples.
 -ListSet <i>string</i>[]
 Get the specified performance counter sets on the computers.
 Enter the names of the counter sets. Wildcards are permitted.
 You can also pipe counter set names to Get-Counter.
 -MaxSamples <i>Int64</i>
 The number of samples to get from each counter.
 The default is 1 sample. To get samples continuously (no max sample size), use -Continuous.
 To collect a very large data set, consider running a Get-Counter command as a PowerShell background job.
 For more information, see about_Jobs and Start-Job.
 -SampleInterval <i>int</i>
 The time between samples in seconds.
 The minimum value and the default value are 1 second.
","https://ss64.com/ps/get-counter.html","System Administration, Enumeration",
"Import-Counter","Import performance counter log files."," Import-Counter [-Path] <i>string</i>[] [-Counter <i>string</i>[]] [-EndTime <i>DateTime</i>]
 [-MaxSamples <i>Int64</i>] [-StartTime <i>DateTime</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
 Import-Counter [-Path] <i>string</i>[] -ListSet &lt;string[]&gt; [<i><a href=""common.html"">CommonParameters</a></i>]
 Import-Counter [-Path] <i>string</i>[] -Summary [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Counter <i>string</i>[]
 Import data only for the specified performance counters.
 By default, Import-Counter imports all data from all counters in the input files.
 Enter one or more counter paths. Wildcards are permitted in the Instance part of
 the path. 
 Each counter path has the following format. Notice that the ComputerName value is
 required in the path, even on the local computer.
 &quot;\\<i>ComputerName</i>\<i>CounterSet</i>(<i>Instance</i>)\<i>CounterName</i>&quot;
 For example: 
 &quot;\\Server64\Processor(2)\% User Time&quot;
 &quot;\Processor(*)\% Processor Time
 -EndTime <i>DateTime</i>
 Imports only counter data with a timestamp &lt;= <i>DateTime</i>
 Enter a DateTime object, such as one created by Get-Date. 
 By default, all counter data will be imported from the files specified by -Path.
 -Summary
 Get a summary of the imported data, instead of getting individual counter data samples.
","https://ss64.com/ps/import-counter.html","System Administration",
"Get-Credential","Get a security credential (username/password)."," Get-Credential [-credential] <i>PSCredential</i> [<i><a href=""common.html"">CommonParameters</a></i>]
 Get-Credential [[-UserName] <i>String</i>] -Message <i>String</i>
"," -credential 
 A user name e.g.User01 or Domain01\User01
 When you submit the command, you are prompted for a password.
 Starting in Windows PowerShell 3.0, if you enter a user name without a domain, Get-Credential no longer
 inserts a backslash before the name.
 If you omit this parameter, you are prompted for a user name and a password.
 -Message <i>String</i>
 A message to appear in the authentication prompt.
 This parameter is designed for use in a function or script.
 Use the message to explain to the user why you are requesting credentials and how they will be used.
 (PowerShell 3.0+)
 -UserName <i>String</i>
 A user name. The authentication prompt will then request a password for the user name.
 By default, the user name is blank and the authentication prompt requests both a user name and password.
 When the authentication prompt appears in a dialog box, the user can edit the specified user name.
 However, the user cannot change the user name when the prompt appears at the command line.
 When using this parameter in a shared function or script, consider all possible presentations.
 (PowerShell 3.0+)
","https://ss64.com/ps/get-credential.html","Enumeration",
"Get-Culture","Get region information (language and keyboard layout)."," Get-Culture [<i><a href=""common.html"">CommonParameters</a></i>]</pre>
","Not Available","https://ss64.com/ps/get-culture.html","Enumeration",
"Set-Culture","Set the user culture for the current user account.","Not Available","Not Available","Not Available","System Administration",
"Get-Date","Get current date and time."," Get-Date [[-date] <i>DateTime</i>]
 [-displayHint {Date | Time | DateTime}]
 {[-format <i>string</i>] | [-<b>u</b>Format <i>string</i>]}
 [-year <i>int</i>] [-month <i>int</i>] [-day <i>int</i>] [-hour <i>int</i>]
 [-minute <i>int</i>] [-second <i>int</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/get-date.html","Enumeration",
"Set-Date","Set system time on the host system."," Set-Date <b>{</b> [-date] <i>DateTime</i>] <b>|</b> [-adjust] <i>TimeSpan</i> <b>}</b>
 [-displayHint <b>{</b>Date <b>|</b> Time <b>|</b> DateTime<b>}</b>]
 [-whatIf] [-confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Date <i>DateTime</i>
 Change the date and time to <i>DateTime</i>.
 Pass a Date-Time object from New-TimeSpan.
 -DisplayHint <i>DisplayHintType</i>
 Display only the Date, only the Time or the DateTime.
 This does not affect the DateTime object that is retrieved.
 -WhatIf
 Describe what would happen if you executed the command without
 actually executing the command.
 
 -Confirm
 Prompt for confirmation before executing the command.
","https://ss64.com/ps/set-date.html","System Administration",
"Clear-Disk","Remove all partition information and un-initialize a disk, erasing all data."," Clear-Disk [-Number] <i>UInt32</i>[]
 [-RemoveData] [-RemoveOEM] [-CimSession <i>CimSession</i>[]]
 [-ThrottleLimit <i>Int32</i>] [-AsJob]
 [-PassThru] [-WhatIf] [-Confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
 Clear-Disk -UniqueId <i>String</i>[]
 [-RemoveData] [-RemoveOEM] [-CimSession <i>CimSession</i>[]]
 [-ThrottleLimit <i>Int32</i>] [-AsJob]
 [-PassThru] [-WhatIf] [-Confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
 Clear-Disk [-FriendlyName <i>String</i>[]]
 [-RemoveData] [-RemoveOEM] [-CimSession <i>CimSession</i>[]]
 [-ThrottleLimit <i>Int32</i>] [-AsJob]
 [-PassThru] [-WhatIf] [-Confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
 Clear-Disk -Path <i>String</i>[]
 [-RemoveData] [-RemoveOEM] [-CimSession <i>CimSession</i>[]]
 [-ThrottleLimit <i>Int32</i>] [-AsJob]
 [-PassThru] [-WhatIf] [-Confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
 Clear-Disk -InputObject <i>CimInstance</i>[]
 [-RemoveData] [-RemoveOEM] [-CimSession <i>CimSession</i>[]]
 [-ThrottleLimit <i>Int32</i>] [-AsJob]
 [-PassThru] [-WhatIf] [-Confirm] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -AsJob Run the cmdlet as a background job. Use this parameter to run commands that take a long time to complete.
 -CimSession Run the cmdlet in a remote session or on a remote computer.
 Enter a computer name or a session object, such as the output of a Get-CimSession cmdlet.
 The default is the current session on the local computer.
 -Confirm Prompts for confirmation before running the cmdlet.
 -FriendlyName A friendly name of the disk to clear.
 -InputObject The input object that is used in a pipeline command.
 You can pipe a Disk object to the -InputObject parameter.
 -Number The disk number of the disk on which to perform the clear operation.
 For a list of available disks, see the Get-Disk cmdlet.
 -PassThru The cmdlet should output an object representing a disk.
 By default, this cmdlet does not generate any output.
 -Path Specifies the path of the disk to clear.
 -RemoveData Enables the removal of all of the data on the disk.
 -RemoveOEM Enables the removal of any OEM recovery partitions from the disk.
 -ThrottleLimit Specifies the maximum number of concurrent operations that can be established to run the cmdlet.
 If this parameter is omitted or a value of 0 is entered, then Windows PowerShell calculates
 an optimum throttle limit for the cmdlet based on the number of CIM cmdlets that are running
 on the computer. The throttle limit applies only to the current cmdlet, not to the session.
 -UniqueId Specifies the UniqueID of the disk to clear.
 -WhatIf Shows what would happen if the cmdlet runs. The cmdlet is not run.
","https://ss64.com/ps/clear-disk.html","System Administration","Disk/Volume Management"
"Get-Disk","Get one or more disks visible to the OS.","Not Available","Not Available","Not Available","System Administration, Enumeration","Disk/Volume Management"
"Set-Disk","Set attributes and update a physical disk.","Not Available","Not Available","Not Available","System Administration","Disk/Volume Management"
"Initialize-Disk","Initialize a RAW disk for first use, this enables formatting.","Not Available","Not Available","Not Available","System Administration","Disk/Volume Management"
"Mount-DiskImage","Mount a previously created disk image (virtual HD or ISO)","Not Available","Not Available","Not Available","System Administration","Disk/Volume Management"
"Remove-Item","Del/erase/rd/rm/rmdir   Delete an item."," Remove-Item <b>{</b> [-path] <i>string</i>[] <b>|</b> [-literalPath] <i>string</i>[] <b>}</b>
 [-include <i>string</i>[]] [-exclude <i>string</i>[]] [-filter <i>string</i>] [-Stream <i>String</i>[]]
 [-recurse] [-force] [-whatIf] [-confirm]
 [-credential <i>PSCredential</i>] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Remove-Item [-Stream <i>string</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Path <i>string</i>
 The path(s) to the items. Wildcards are permitted.
 Use the wildcard (*) to specify all items in the current location.
 -LiteralPath <i>string</i>
 Like Path above, only the value is used exactly as typed.
 No characters are interpreted as wildcards. If the path includes any
 escape characters then enclose the path in single quotation marks.
 -Include <i>string</i>
 Include only the specified items from the Path. e.g. May*
 this only works when the path includes a wildcard character.
 -Exclude <i>string</i>
 Omit the specified items from the Path e.g. *SS64*&quot;
 this only works when the path includes a wildcard character.
 -Filter <i>string</i>
 A filter in the provider's format or language. 
 The exact syntax of the filter (wildcard support etc) depends on the provider.
 Filters are more efficient than -include/-exclude, because the provider
 applies the filter when retrieving the objects, rather than having 
 PowerShell filter the objects after they are retrieved.
 -Recurse 
 Also delete child items from the specified location.
 When used with -Include, -Recurse may not delete all subfolders or all child items.
 This is a known issue.This behavior was fixed in Windows versions 1909 and newer.
 As a workaround, try piping results of the `Get-ChildItem -Recurse` command to Remove-Item
 -Force
 Override restrictions that prevent the command from succeeding, apart from 
 security settings. e.g. -force will override a files read-only or hidden
 attribute, but will not change file permissions.
 The cmdlet cannot remove constant aliases or variables.
 -Credential <i>PSCredential</i>
 Use a credential to validate access to the file. <i>Credential</i> represents
 a user-name, such as User01 or Domain01\User01, or a PSCredential
 object, such as the one retrieved by using the Get-Credential cmdlet.
 If you type a user name, you will be prompted for a password.
 This parameter is not supported by any PowerShell core cmdlets or providers.
 -Stream <i>string</i>
 Delete the specified alternate data stream from a file, but do not delete the file.
 Enter the stream name. Wildcards are supported. This parameter is not valid on folders.
 Stream is a dynamic parameter that the FileSystem provider adds to the Remove-Item cmdlet.
 This parameter works only in file system drives.
 You can use the Remove-Item cmdlet to delete an alternate data stream. However, it is not the recommended way 
 to eliminate security checks that block files that are downloaded from the Internet. To verify that a 
 downloaded file is safe, use the Unblock-File cmdlet. PowerShell 3.0+
 -WhatIf
 Describe what would happen if you executed the command without
 actually executing the command.
 -Confirm
 Prompt for confirmation before executing the command.
 -UseTransaction
 Include the command in the active transaction.
","https://ss64.com/ps/remove-item.html","File Manipulation","Disk/Volume Management"
"del","Delete an item."," Remove-Item <b>{</b> [-path] <i>string</i>[] <b>|</b> [-literalPath] <i>string</i>[] <b>}</b>
 [-include <i>string</i>[]] [-exclude <i>string</i>[]] [-filter <i>string</i>] [-Stream <i>String</i>[]]
 [-recurse] [-force] [-whatIf] [-confirm]
 [-credential <i>PSCredential</i>] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
 
 Remove-Item [-Stream <i>string</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Path <i>string</i>
 The path(s) to the items. Wildcards are permitted.
 Use the wildcard (*) to specify all items in the current location.
 -LiteralPath <i>string</i>
 Like Path above, only the value is used exactly as typed.
 No characters are interpreted as wildcards. If the path includes any
 escape characters then enclose the path in single quotation marks.
 -Include <i>string</i>
 Include only the specified items from the Path. e.g. May*
 this only works when the path includes a wildcard character.
 -Exclude <i>string</i>
 Omit the specified items from the Path e.g. *SS64*&quot;
 this only works when the path includes a wildcard character.
 -Filter <i>string</i>
 A filter in the provider's format or language. 
 The exact syntax of the filter (wildcard support etc) depends on the provider.
 Filters are more efficient than -include/-exclude, because the provider
 applies the filter when retrieving the objects, rather than having 
 PowerShell filter the objects after they are retrieved.
 -Recurse 
 Also delete child items from the specified location.
 When used with -Include, -Recurse may not delete all subfolders or all child items.
 This is a known issue.This behavior was fixed in Windows versions 1909 and newer.
 As a workaround, try piping results of the `Get-ChildItem -Recurse` command to Remove-Item
 -Force
 Override restrictions that prevent the command from succeeding, apart from 
 security settings. e.g. -force will override a files read-only or hidden
 attribute, but will not change file permissions.
 The cmdlet cannot remove constant aliases or variables.
 -Credential <i>PSCredential</i>
 Use a credential to validate access to the file. <i>Credential</i> represents
 a user-name, such as User01 or Domain01\User01, or a PSCredential
 object, such as the one retrieved by using the Get-Credential cmdlet.
 If you type a user name, you will be prompted for a password.
 This parameter is not supported by any PowerShell core cmdlets or providers.
 -Stream <i>string</i>
 Delete the specified alternate data stream from a file, but do not delete the file.
 Enter the stream name. Wildcards are supported. This parameter is not valid on folders.
 Stream is a dynamic parameter that the FileSystem provider adds to the Remove-Item cmdlet.
 This parameter works only in file system drives.
 You can use the Remove-Item cmdlet to delete an alternate data stream. However, it is not the recommended way 
 to eliminate security checks that block files that are downloaded from the Internet. To verify that a 
 downloaded file is safe, use the Unblock-File cmdlet. PowerShell 3.0+
 -WhatIf
 Describe what would happen if you executed the command without
 actually executing the command.
 -Confirm
 Prompt for confirmation before executing the command.
 -UseTransaction
 Include the command in the active transaction.
","https://ss64.com/ps/remove-item.html","File Manipulation","Disk/Volume Management"
